model_bb,bb_num,model_rk,rk_cat,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,dataset,model,approx,filter_key
SVC,0,RK,Corr,0.933281004709576,0.8557993730407524,0.9332711764642452,0.8526580680636409,0.925857865372015,0.839333420925853,1.9864106173042704,1.7392771753951553,0.9332711764642452,0.8526580680636409,semeion,SVC_0,RK_Corr,semeion_SVC_0
SVC,0,RK,Prec,0.979591836734694,0.8025078369905956,0.9795125228852464,0.7997541561906887,0.9773184496786484,0.7802621939885632,2.201380127264433,1.557277481732481,0.9795125228852464,0.7997541561906887,semeion,SVC_0,RK_Prec,semeion_SVC_0
XGB,1,RK,C2,0.9609261939218524,0.9450867052023122,0.9006846982207848,0.8267339043934787,0.915275653841307,0.8864535295438452,0.6768003336612458,0.6739176354222871,0.9006846982207848,0.8267339043934787,car,XGB_1,RK_C2,car_XGB_1
XGB,1,RK,Corr,0.8437047756874095,0.8526011560693642,0.755403033213779,0.7616261398176292,0.6854868278538948,0.7133155705744736,0.45311456942018696,0.5146102550978473,0.755403033213779,0.7616261398176292,car,XGB_1,RK_Corr,car_XGB_1
XGB,1,RK,Prec,0.97178002894356,0.9335260115606936,0.8896491102455417,0.8037717601547388,0.9376450471670827,0.8605523235438425,0.7026859192285668,0.6224480801359156,0.8896491102455417,0.8037717601547388,car,XGB_1,RK_Prec,car_XGB_1
RF,2,RK,C2,0.9609261939218524,0.9450867052023122,0.9006846982207848,0.8325656364240611,0.915275653841307,0.8863711001642036,0.6768003336612458,0.6839556867999579,0.9006846982207848,0.8325656364240611,car,RF_2,RK_C2,car_RF_2
RF,2,RK,Corr,0.8437047756874095,0.861271676300578,0.755403033213779,0.7763002658690595,0.6854868278538948,0.7297974457008054,0.45311456942018696,0.5337685519706804,0.755403033213779,0.7763002658690595,car,RF_2,RK_Corr,car_RF_2
RF,2,RK,Prec,0.97178002894356,0.9393063583815028,0.8896491102455417,0.8211739780658025,0.9376450471670827,0.8725017108564811,0.7026859192285668,0.6440122670089428,0.8896491102455417,0.8211739780658025,car,RF_2,RK_Prec,car_RF_2
SVC,0,RK,C2,0.9602026049204052,0.9393063583815028,0.8904531898867756,0.8226263092022923,0.9138545580243556,0.8748923861014498,0.6770185621748336,0.6720297090384441,0.8904531898867756,0.8226263092022923,car,SVC_0,RK_C2,car_SVC_0
SVC,0,RK,Corr,0.8458755426917511,0.8670520231213873,0.7601798742825043,0.780575719649562,0.6903643162561732,0.7418413027963409,0.4597571272483494,0.547246291698825,0.7601798742825043,0.780575719649562,car,SVC_0,RK_Corr,car_SVC_0
SVC,0,RK,Prec,0.9710564399421128,0.9335260115606936,0.8831403702197851,0.8090461761412291,0.9361572877472346,0.8609081693291851,0.7061661032858011,0.6337136383294869,0.8831403702197851,0.8090461761412291,car,SVC_0,RK_Prec,car_SVC_0
XGB,1,RK,C2,0.984375,0.8575,0.9844770178814156,0.8531940729188199,0.982635203391692,0.8413791664057771,2.215927367479579,1.7594647630740576,0.9844770178814156,0.8531940729188199,cmc,XGB_1,RK_C2,cmc_XGB_1
XGB,1,RK,Corr,0.910625,0.8125,0.9124147651636438,0.7993275133245795,0.9006566732837659,0.791327573974375,1.9905173953859576,1.698683867116274,0.9124147651636438,0.7993275133245795,cmc,XGB_1,RK_Corr,cmc_XGB_1
XGB,1,RK,Prec,0.989375,0.8325,0.989308255444804,0.829950171269488,0.988191517949978,0.8137453175711833,2.2456448985895228,1.703502239767692,0.989308255444804,0.829950171269488,cmc,XGB_1,RK_Prec,cmc_XGB_1
RF,2,RK,C2,0.984375,0.845,0.9844770178814156,0.8385320024782216,0.982635203391692,0.8272499303427139,2.215927367479579,1.7028521464033606,0.9844770178814156,0.8385320024782216,cmc,RF_2,RK_C2,cmc_RF_2
RF,2,RK,Corr,0.910625,0.8275,0.9124147651636438,0.8033879199881826,0.9006566732837659,0.8074669345387577,1.9905173953859576,1.7017517485258455,0.9124147651636438,0.8033879199881826,cmc,RF_2,RK_Corr,cmc_RF_2
RF,2,RK,Prec,0.989375,0.83,0.989308255444804,0.827782840990994,0.988191517949978,0.8107259910790706,2.2456448985895228,1.691659027765954,0.989308255444804,0.827782840990994,cmc,RF_2,RK_Prec,cmc_RF_2
SVC,0,RK,C2,0.84625,0.7925,0.8484656902753274,0.7738877995489035,0.8291048061668156,0.7685604740327641,1.8389278251759904,1.6477557701810222,0.8484656902753274,0.7738877995489035,cmc,SVC_0,RK_C2,cmc_SVC_0
SVC,0,RK,Corr,0.858125,0.845,0.8539273874505927,0.81653278168843,0.8420607935488444,0.8265794902276145,1.835874238196052,1.7248535350607603,0.8539273874505927,0.81653278168843,cmc,SVC_0,RK_Corr,cmc_SVC_0
